,brand,Name,Address,City,keyword
0,Solstice,Merrimack Premium Outlets,"80 Premium Outlets Blvd., Suite 687",Merrimack,"Merrimack Premium Outlets, Merrimack, 80 Premium Outlets Blvd., Suite 687"
1,Solstice,Roosevelt Field Mall,"630 Old Country Road, 1084B",Garden City,"Roosevelt Field Mall, Garden City, 630 Old Country Road, 1084B"
2,Solstice,JFK,"BLDG 56A, Space B5, Concourse B",Jamaica,"JFK, Jamaica, BLDG 56A, Space B5, Concourse B"
3,Solstice,The Westchester Mall,"125 Westchester Avenue, Space # 3070",White Plains,"The Westchester Mall, White Plains, 125 Westchester Avenue, Space # 3070"
4,Solstice,Queens Center,"90-15 Queens Boulevard, Space 5040",Elmhurst,"Queens Center, Elmhurst, 90-15 Queens Boulevard, Space 5040"
5,Solstice,Kings Plaza,"5384 Kings Plaza, Space #130A",Brooklyn,"Kings Plaza, Brooklyn, 5384 Kings Plaza, Space #130A"
6,Solstice,Jersey Shore Premium Outlets,"1 Premium Outlet Blvd., Suite 739",Tinton Falls,"Jersey Shore Premium Outlets, Tinton Falls, 1 Premium Outlet Blvd., Suite 739"
7,Solstice,Fifth Avenue FLAGSHIP,500 Fifth Avenue,New York,"Fifth Avenue FLAGSHIP, New York, 500 Fifth Avenue"
8,Solstice,The Shops at Columbus Circle,"10 Columbus Circle, Space 306",New York,"The Shops at Columbus Circle, New York, 10 Columbus Circle, Space 306"
9,Solstice,SoHo,107 Spring Street,New York,"SoHo, New York, 107 Spring Street"
10,Solstice,Palisades Center,"1432 Palisades Center Drive, Space B102",West Nyack,"Palisades Center, West Nyack, 1432 Palisades Center Drive, Space B102"
11,Solstice,Staten Island Mall,"2655 Richmond Ave., Space 2334",Staten Island,"Staten Island Mall, Staten Island, 2655 Richmond Ave., Space 2334"
12,Solstice,Woodbury Common,431 Evergreen Court,Central Valley,"Woodbury Common, Central Valley, 431 Evergreen Court"
13,Solstice,The Mall at Short Hills,"1200 Morris Turnpike, #C242",Short Hills,"The Mall at Short Hills, Short Hills, 1200 Morris Turnpike, #C242"
14,Solstice,King of Prussia Mall,"160 North Gulph Road, Space # 1395",King of Prussia,"King of Prussia Mall, King of Prussia, 160 North Gulph Road, Space # 1395"
15,Solstice,Philadelphia Premium Outlets,"18 Lightcap Road, Suite 1247",Pottstown,"Philadelphia Premium Outlets, Pottstown, 18 Lightcap Road, Suite 1247"
16,Solstice,Tysons Corner Center,"1961 Chain Bridge Road, Space G17L",McLean,"Tysons Corner Center, McLean, 1961 Chain Bridge Road, Space G17L"
17,Solstice,Eastview Mall,361 Eastview Mall Drive,Victor,"Eastview Mall, Victor, 361 Eastview Mall Drive"
18,Solstice,South Beach,805 Lincoln Road,Miami Beach,"South Beach, Miami Beach, 805 Lincoln Road"
19,Solstice,The Galleria at Ft. Lauderdale,2482 E. Sunrise Blvd.,Fort Lauderdale,"The Galleria at Ft. Lauderdale, Fort Lauderdale, 2482 E. Sunrise Blvd."
20,Solstice,Aventura Mall,"19575 Biscayne Blvd., Suite 1361",Aventura,"Aventura Mall, Aventura, 19575 Biscayne Blvd., Suite 1361"
21,Solstice,Town Center at Boca Raton,6000 Glades Road #1045B,Boca Raton,"Town Center at Boca Raton, Boca Raton, 6000 Glades Road #1045B"
22,Solstice,Sawgrass Mills Outlet,"12801 W. Sunrise Blvd., Space 442",Sunrise,"Sawgrass Mills Outlet, Sunrise, 12801 W. Sunrise Blvd., Space 442"
23,Solstice,Sawgrass Mills Outlet II,"12801 W. Sunrise Blvd., Space 5040",Sunrise,"Sawgrass Mills Outlet II, Sunrise, 12801 W. Sunrise Blvd., Space 5040"
24,Solstice,Dolphin Mall,11401 N.W. 12th Street Suite 174,Miami,"Dolphin Mall, Miami, 11401 N.W. 12th Street Suite 174"
25,Solstice,Fashion Outlets of Niagara Falls,"1864 Military Road, Space 35",Niagara Falls,"Fashion Outlets of Niagara Falls, Niagara Falls, 1864 Military Road, Space 35"
26,Solstice,The Florida Mall,8001 South Orange Blossom Trail #132,Orlando,"The Florida Mall, Orlando, 8001 South Orange Blossom Trail #132"
27,Solstice,Orlando Premium Outlets,"4953 International Drive, Suite 1A 17",Orlando,"Orlando Premium Outlets, Orlando, 4953 International Drive, Suite 1A 17"
28,Solstice,South Park Mall,4400 Sharon Road #E14,Charlotte,"South Park Mall, Charlotte, 4400 Sharon Road #E14"
29,Solstice,Vineland Ave.,"8166 Vineland Avenue, Suite 1799",Orlando,"Vineland Ave., Orlando, 8166 Vineland Avenue, Suite 1799"
30,Solstice,St. John's Town Center,"4712 River City Drive, Suite 119",Jacksonville,"St. John's Town Center, Jacksonville, 4712 River City Drive, Suite 119"
31,Solstice,University Town Center,140 University Town Center Dr.  Suite #178,Sarasota,"University Town Center, Sarasota, 140 University Town Center Dr.  Suite #178"
32,Solstice,International Plaza,2223 North West Shore Drive,Tampa,"International Plaza, Tampa, 2223 North West Shore Drive"
33,Solstice,Great Lakes Crossing,"4716 Baldwin Road, Space #210A",Auburn Hills,"Great Lakes Crossing, Auburn Hills, 4716 Baldwin Road, Space #210A"
